order_id,order_datetime,customer_id,product_id,quantity,unit_price,discount_pct,payment_method,sales_channel,updated_at,source_batch,reason_code
O000267,2026-01-02 16:42:00,C0095,P042,-2.0,733.19,0,PROMPTPAY,MARKETPLACE,2026-01-03 23:59:00,1,INVALID_QUANTITY
O000113,2026-01-03 03:35:00,C0039,P011,,616.6,0,PROMPTPAY,MARKETPLACE,2026-01-04 23:59:00,1,INVALID_QUANTITY
O000254,2026-01-04 03:25:00,C0002,P043,6.0,,15,PROMPTPAY,ONLINE,2026-01-05 23:59:00,1,INVALID_PRICE
O000214,2026-01-04 07:12:00,C0043,P999,6.0,1451.77,0,PROMPTPAY,STORE,2026-01-05 23:59:00,1,PRODUCT_NOT_FOUND
O000291,,C0165,P041,2.0,1291.92,0,CASH,ONLINE,2026-01-06 23:59:00,1,INVALID_DATE
O000149,2026-01-08 12:33:00,C9999,P039,4.0,688.83,10,PROMPTPAY,MARKETPLACE,2026-01-09 23:59:00,1,CUSTOMER_NOT_FOUND
O000321,2026-01-12 07:42:00,C0073,P999,5.0,624.66,10,BANK TRANSFER,ONLINE,2026-01-13 23:59:00,1,PRODUCT_NOT_FOUND
O000415,2026-01-12 21:48:00,,P030,1.0,915.53,10,CREDIT_CARD,MARKETPLACE,2026-01-13 23:59:00,1,CUSTOMER_NOT_FOUND
O000298,2026-01-14 00:46:00,C9999,P037,2.0,185.91,10,BANK TRANSFER,STORE,2026-01-15 23:59:00,1,CUSTOMER_NOT_FOUND
O000202,2026-01-15 10:38:00,C0161,P031,3.0,599.9,120,CREDIT_CARD,ONLINE,2026-01-16 23:59:00,1,INVALID_DISCOUNT
O000381,2026-01-17 13:54:00,C0054,P005,1.0,,10,CREDIT_CARD,MARKETPLACE,2026-01-18 23:59:00,1,INVALID_PRICE
O000166,2026-01-18 04:01:00,,P027,4.0,817.79,10,PROMPTPAY,ONLINE,2026-01-19 23:59:00,1,CUSTOMER_NOT_FOUND
O000356,2026-01-19 11:29:00,C0146,P042,-2.0,733.19,0,BANK TRANSFER,STORE,2026-01-20 23:59:00,1,INVALID_QUANTITY
O000388,,C0086,P027,1.0,817.79,15,BANK TRANSFER,MARKETPLACE,2026-01-25 23:59:00,1,INVALID_DATE
O000404,2026-01-30 04:14:00,C0163,P016,5.0,878.59,120,CREDIT_CARD,STORE,2026-01-31 23:59:00,1,INVALID_DISCOUNT
O000278,2026-02-01 02:14:00,C0022,P035,4.0,,0,PROMPTPAY,MARKETPLACE,2026-02-02 23:59:00,1,INVALID_PRICE
O000262,,C0097,P044,5.0,766.0,0,CREDIT_CARD,STORE,2026-02-03 23:59:00,1,INVALID_DATE
